Aluminum.Band,Sex,Age,Year,DateSearchCriteria,ExportType,CaptureHistoryExport,y.1980,y.1981,y.1982,y.1983,y.1984,y.1985,y.1986,y.1987,y.1988,y.1989,y.1990,y.1991,y.1992,y.1993,y.1994,y.1995,y.1996,y.1997,y.1998,y.1999,y.2000,y.2001,y.2002,y.2003,y.2004,y.2005,y.2006,y.2007,y.2008,y.2009,y.2010,y.2011,y.2012,y.2013,y.2014,y.2015,y.2016,y.2017,y.2018,y.2019,y.2020,y.2021
1320-86678,F,AHY,1983,"1980 - 2021",Yearly,000100000000000000000000000000000000000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1320-86679,M,AHY,1983,"1980 - 2021",Yearly,000100000000000000000000000000000000000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1320-86680,M,AHY,1983,"1980 - 2021",Yearly,000100000000000000000000000000000000000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1320-86681,M,AHY,1983,"1980 - 2021",Yearly,000100000000000000000000000000000000000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1320-86682,M,AHY,1983,"1980 - 2021",Yearly,000100000000000000000000000000000000000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1320-86690,M,AHY,1983,"1980 - 2021",Yearly,000100000000000000000000000000000000000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1320-86692,F,AHY,1983,"1980 - 2021",Yearly,000100000000000000000000000000000000000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1320-86744,M,AHY,1983,"1980 - 2021",Yearly,000100000000000000000000000000000000000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1320-86764,F,AHY,1983,"1980 - 2021",Yearly,000100000000000000000000000000000000000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1320-86767,F,AHY,1983,"1980 - 2021",Yearly,000100000000000000000000000000000000000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1320-86773,M,SY,1983,"1980 - 2021",Yearly,000111100000000000000000000000000000000000,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1320-86793,F,AHY,1983,"1980 - 2021",Yearly,000100000000000000000000000000000000000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1320-86794,F,AHY,1983,"1980 - 2021",Yearly,000100000000000000000000000000000000000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1320-86799,F,AHY,1983,"1980 - 2021",Yearly,000100000000000000000000000000000000000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1320-86695,F,AHY,1984,"1980 - 2021",Yearly,000010000000000000000000000000000000000000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1320-86696,F,AHY,1984,"1980 - 2021",Yearly,000010100000000000000000000000000000000000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1320-86697,M,AHY,1984,"1980 - 2021",Yearly,000010000000000000000000000000000000000000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1320-86698,F,AHY,1984,"1980 - 2021",Yearly,000011100000000000000000000000000000000000,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1320-86789,F,AHY,1984,"1980 - 2021",Yearly,000010000000000000000000000000000000000000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
